dish,net,Estimated GI
"
Shrimp fried with vegetable"," 125 g
",20.0
Minced pork with eggplant," 134g
",0.0
Green vegetable," 115 g
",20.0
"
Scrambled egg with tomato"," 140 g
",0.0
Diced pork fried with green pepper and carrot," 104 g
",17.5
Chocolate, 22 g,50.0
Bread, 100 g,75.0
"
Egg"," 61 g
",0.0
Lettuce," 121 g
",10.0
Pork stuffed green pepper," 84 g
",0.0
Minced pork with cauliflower and carrot," 118 g
",16.67
Sliced pork with lettuce and water bamboo," 103 g
",0.0
beaf, 250 g,50.0
Steamed meat roll stuffed with cabbage," 109 g
",10.0
Shredded pork fried with bitter gourd and carrot," 105 g
",17.5
Milk candy," 15 g
",50.0
Soda biscuit, 15 g,50.0
Shredded pork with green pepper and white mushroom," 111 g
",7.5
Minced pork with celery and carrot," 105 g
",17.5
Chinese cabbage and carrot," 116 g
",22.5
Pork stuffed green pepper," 121 g
",0.0
Minced pork and pumpkin with scallion oil," 109 g
",0.0
Stewed pork with cauliflower," 143 g
",7.5
Shredded pork with cucumber," 100 g
",0.0
Braised radish," 103 g
",50.0
Coarse grain, 125 g,50.0
Stewed pork chops with carrot," 132 g
",17.5
Steamed minced pork  with eggplant," 111 g
",0.0
Spinach," 102 g
",50.0
Sliced pork with cowpea and carrot," 127 g
",17.5
Braised shredded pork and cabbage,"110 g
",5.0
Green bean sprout and green pepper," 115 g
",30.0
Boiled vegetable, 120 g,20.0
Shepherd's purse meatball," 85 g
",50.0
"Water bamboo,carrot and shredded pork"," 123 g
",17.5
Leaf lettuce," 125 g
",10.0
Shredded pork in Beijing sauce," 146 g
",25.0
Minced pork with zucchini," 114 g
",0.0
Radish with scallion oil,"  144 g
",10.0
Eggs," 64 g
",0.0
Coarse grain steamed bread," 103 g
",62.5
Boiled vegetable, 145 g,20.0
Braised pork with radish," 136 g
",0.0
Shredded chicken with green pepper and yam," 111 g
",7.5
Chinese vegetable," 123 g
",20.0
Stewed beef brisket with tomato," 118 g
",0.0
Sliced duck with soy sauce," 109 g
",50.0
Stir-fried green vegetable," 106 g
",20.0
Shimeji mushroom stewed with tofu," 105 g
",15.0
Steamed chicken cubes  with mushroom," 132 g
",15.0
Salt and pepper shrimp," 130 g
",15.0
Fried egg with zucchini," 123 g
",0.0
Stir-fried leaf lettuce," 123 g
",10.0
Coarse grain, 124 g,50.0
Stir-fried pork with tofu skin," 145 g
",7.5
Shredded pork with towel gourd and carrot," 123 g
",17.5
Lettuce," 120 g
",10.0
Corase grain, 136 g,50.0
Stir fired prok rib," 158 g
",50.0
Shredded pork with zucchini," 141 g
",0.0
Egg," 61g
",0.0
"Corase grain steamed bread
Boiled vegetable", 107 g,62.5
Steamed duck leg," 103 g
",0.0
Minced pork with cowpea," 103 g
",0.0
Glucose, 20g,50.0
Stewed pork with cauliflower," 132 g
",7.5
Boiled radish," 120 g
",50.0
Sliced pork with cucumber," 115 g
",0.0
Steamed twisted roll," 113 g
",50.0
Pork floss, 10 g,0.0
Stewed egg with minced pork," 152 g
",0.0
Stir-fired shredded pork with shredded potato and carrot," 114 g
",38.33
Rice, 300 g,70.0
Braised hairtail," 152 g
",50.0
Scrambled egg with  zucchini," 144 g
",0.0
Shredded carrot and cabbage,"  108 g
",22.5
Rice, 233 g,70.0
Biscuit, 5 g,50.0
Steamed twisted roll," 136 g
",50.0
Pickles, 25 g,50.0
Orleans roasted chicken wing," 98 g
",0.0
Steamed crab with egg," 100 g
",0.0
Amaranth," 95 g
",50.0
Rice, 252 g,70.0
Braised duck with radish," 160 g
",0.0
Shredded pork with cucumber and carrot," 144 g
",17.5
Cabbage and carrot," 127 g
",22.5
Rice, 246 g,70.0
Chinese cabbage fried with shredded pork and rice cake," 359 g
",26.67
Fried mushroom, 110 g,15.0
Soup of sea food," 187 g
",50.0
Shredded pork with cauliflower and fungus, 127 g,7.5
"
Green vegetable"," 124 g
",20.0
Rice, 258 g,70.0
Steamed pumpkin bread," 129 g
",75.0
Boiled shrimp," 82 g
",50.0
Minced meat with wax gourd," 132 g
",50.0
Rice, 271 g,70.0
Marinated duck," 120 g
",0.0
Stir-fried shredded pork with green pepper and carrot," 121 g
",17.5
Braised radish," 160 g
",50.0
Steamed vegetable bun," 118 g
",20.0
Diced meat with corn and green beans," 160 g
",30.0
Scrambled egg with tomato,"  163 g
",0.0
Boiled vegetable," 101 g
",20.0
Shredded pork with green pepper and  smoked bean curd,"  137 g
",15.0
Cabbage," 126 g
",10.0
Braised pork with radish, 156 g,0.0
Coarse grain 13," 1g
",50.0
Pumpkin," 110g
",50.0
Sliced boiled duck," 117 g
",0.0
Shredded pork with lettuce, 121 g,0.0
Egg," 65g
",0.0
Minced pork with Hangzhou cabbage,"  129 g
",5.0
Steamed corn meatball, 110g,50.0
Coarse grain," 237g
",50.0
Steamed pork ribs with pumpkin," 132g
",0.0
Minced pork with cauliflower and carrot,"  113g
",16.67
Cabbage, 111g,10.0
Coarse grain," 252g
",50.0
Minced pork with tomato and cabbage," 122g
",5.0
Sweet potato leaves," 115g
",80.0
Fried duck slices, 111g,0.0
Coarse grain," 251g
",50.0
Cabbage," 121g
",10.0
Minced pork with winter melon and carrot,"  126g
",17.5
Steamed chicken nugget with mushroom, 108g,15.0
Shredded pork with water bamboo and carrot," 132 g
",17.5
Chinese cabbage," 109 g
",10.0
Sliced boiled duck," 109 g
",0.0
Minced pork with sweet potato leaves," 105 g
",40.0
Green pepper with green bean sprouts," 100 g
",30.0
Boiled  vegetable, 111 g,20.0
Chicken nuggets with green pepper," 60 g
",7.5
Minced pork with cauliflower and  fungus," 41 g
",7.5
Green vegetable," 21 g
",20.0
Coarse grain, 38 g,50.0
Fried pork slices with chayote," 130 g
",0.0
Shredded pork with shredded lettuce," 130 g
",0.0
Cabbage," 116 g
",10.0
Boiled  vegetable, 107 g,20.0
Minced pork with tomato and cabbage," 127 g
",5.0
Sweet potato leaves," 108 g
",80.0
Steamed chicken nuggets with mushrooms," 137 g
",15.0
Minced pork with white gourd and carrot," 148 g
",17.5
Shrimp fired with vegetable," 140 g
",20.0
Minced pork with eggplant," 107g
",0.0
Green vegetable," 111 g
",20.0
Steamed yam stuffing meat balls," 113 g
",50.0
Shredded pork with green pepper and carrot," 122 g
",17.5
Hangzhou cabbage," 109 g
",10.0
Steamed pomfret," 105 g
",0.0
Shredded pork with tomato and cabbage," 138 g
",5.0
Lettuce," 105 g
",10.0
Sliced pork with beech mushroom and carrot," 125 g
",16.67
Minced pork with cauliflower and carrot," 102 g
",16.67
Chinese cabbage," 102 g
",10.0
Sliced pork with snow pea and yam," 155 g
",0.0
Shredded cabbage and carrot," 122 g
",22.5
Shredded pork with broccoli," 131 g
",0.0
Shredded pork in Beijing sauce," 122 g
",25.0
Winter melon with scallion oil," 122 g
",10.0
Eggs," 63 g
",0.0
Coarse grain," 219 g
",50.0
Chinese cabbage," 106 g
",10.0
Steamed perch, 123 g,50.0
Sliced pork with celery and carrot," 126 g
",17.5
Shredded pork with lettuce," 127 g
",0.0
Vegetable," 129 g
",20.0
Coarse grain steamed bread," 122 g
",62.5
Coarse grain," 215 g
",50.0
Vegetable," 107 g
",20.0
Chicken nuggets with green pepper, 146 g,7.5
Steamed pork chops with radish," 124 g
",0.0
Minced pork with hangzhou cabbage," 115 g
",5.0
Coarse grain," 273 g
",50.0
Sweet potato leaves," 111 g
",80.0
Fried duck slices," 131 g
",0.0
Minced pork with tomato and cabbage, 119 g,5.0
Steamed chicken nuggets with mushrooms," 118 g
",15.0
Hangzhou cabbage," 117 g
",10.0
Coarse grain," 280 g
",50.0
Minced pork with eggplant," 112 g
",0.0
Shrimp fried with vegetable, 140 g,20.0
Coarse grain," 282 g
",50.0
Shredded pork with tomato and cabbage," 116 g
",5.0
Steamed pomfret, 105 g,0.0
Steamed chicken with mushrooms," 111 g
",15.0
Chinese cabbage," 98 g
",10.0
Minced pork with cauliflower and carrot," 103 g
",16.67
Coarse grain," 281 g
",50.0
Steamed fish pieces, 125 g,0.0
Sliced pork with asparagus and fungus," 103 g
",0.0
Minced pork with cucumber," 106 g
",0.0
Coarse grain steamed bread," 125 g
",62.5
Coarse grain," 278 g
",50.0
Minced pork with cowpea," 107 g
",0.0
Green vegetables," 113 g
",20.0
Roasted crucian carp with scallion, 139 g,5.0
Sliced pork with snow pea and yam," 131 g
",0.0
Shredded cabbage and carrot," 116 g
",22.5
Shredded pork with broccoli," 123 g
",0.0
Coarse grain steamed bread,"  80 g
",62.5
Cabbage," 40 g
",10.0
Egg, 55 g,0.0
"
Coarse grain"," 75 g
",50.0
Green vegetables," 100 g
",20.0
Pork," 40 g
",0.0
Radish, 20 g,50.0
"
Coarse grain"," 60 g
",50.0
Fish," 40 g
",0.0
Fried Chicken  with pepper, 50 g,7.5
"
Corn tortillas","  50 g
",50.0
Eggs," 50 g
",0.0
Ginger slices, 5 g,50.0
Cabbage," 50 g
",10.0
Fish, 80 g,0.0
Coarse grain, 60g,50.0
"
Cabbage"," 55 g
",10.0
Carrot," 20 g
",35.0
Chicken," 50 g
",0.0
Bean curd blade, 50 g,30.0
"
Milk", 150 ml,50.0
"
Cereal", 15 g,50.0
"
Egg"," 50 g
",0.0
Corn cake, 74 g,50.0
"
Vegetable"," 50 g
",20.0
Coarse grain cake," 50 g
",50.0
"
Celery","  50 g
",50.0
Cucumber,"  50 g
",50.0
Egg,"  55 g
",0.0
Corn cake, 60 g,50.0
"
Buckwheat bread"," 50 g
",75.0
Scrambled egg with tomato, 80 g,0.0
"
Black rice"," 60 g
",70.0
Lettuce," 50 g
",10.0
Tofu," 40 g
",15.0
Duck, 50 g,0.0
Lettuce,"  50 g
",10.0
Egg,"  50 g
",0.0
Milk, 250 mL,50.0
"
Taro"," 50 g
",50.0
Black rice, 60 g,70.0
"
Duck feet"," 50 g
",0.0
"
Whole wheat bread"," 50 g
",75.0
Cereal," 40 g
",50.0
Milk, 150 mL,50.0
"
Fish"," 50 g
",0.0
Mushroom," 50 g
",15.0
"
Cabbage"," 50 g
",10.0
Green pepper," 50 g
",15.0
Shredded pork," 50 g
",0.0
Duck feet," 50 g
",0.0
Buckwheat bread, 25 g,75.0
"
Cucumber"," 50 g
",50.0
Whole wheat bread," 50 g
",75.0
Milk, 150 ml,50.0
Radish," 50 g
",50.0
Celery," 50 g
",50.0
Bean curd blade," 50 g
",30.0
Duck wing, 50 g,0.0
"
Shredded chicken and vegetable"," 100 g
",10.0
Buckwheat noodles, 50 g,55.0
Mushroom, 50 g,15.0
Konjak silk," 50 g
",50.0
Seafood,  50 g,50.0
Green vegetable," 50 g
",20.0
Pork, 50 g,0.0
Pork,"  50 g
",0.0
"
Buckwheat noodles"," 50 g
",55.0
Steamed corn meat ball," 88 g
",50.0
Minced pork with cauliflower and carrot," 113 g
",16.67
Braised duck with carrot," 116 g
",35.0
Minced pork with Hangzhou cabbage," 130 g
",5.0
Minced pork with tomato and cabbage," 124 g
",5.0
Coarse grain, 133g,50.0
Steamed chicken with mushroom," 127 g
",15.0
Minced pork with white gourd and carrot," 133 g
",17.5
Scrambled egg with tomato," 152 g
",0.0
Shredded pork with green pepper and carrot," 102 g
",17.5
Pork stuffed green pepper,"102 g
",0.0
Minced pork with cauliflower and carrot," 111 g
",16.67
Chinese cabbage," 111 g
",10.0
Braised pork with tofu skin," 117 g
",7.5
Shredded pork with celery," 113 g
",0.0
Spinach," 109 g
",50.0
Sliced pork with lettuce and agaric," 140 g
",0.0
Shredded pork with cucumber," 103 g
",0.0
Sliced pork with snow pea and yam," 110 g
",0.0
Shredded cabbage and carrot," 119 g
",22.5
Boiled vegetable, 96 g,20.0
Fried fish slices with tomatoes," 126 g
",0.0
Minced pork with yam and corn," 130 g
",0.0
Hangzhou cabbage," 131 g
",10.0
Braised duck with radish," 144 g
",0.0
Vegetable," 128 g
",20.0
Sliced pork with green pepper and mushroom," 107 g
",7.5
Braised shredded pork and cabbage," 125 g
",5.0
Green pepper with green bean sprouts," 110 g
",30.0
Shredded pork with green pepper and water bamboo," 123 g
",0.0
Roasted pork rib with scallion," 95 g
",0.0
Minced pork with white gourd," 165 g
",0.0
Steamed chicken with scallion," 113 g
",5.0
Shredded pork with cucumber and carrot," 119 g
",17.5
Radish," 121 g
",50.0
Boiled river shrimp," 75 g
",50.0
Shredded pork with bottle gourd," 144 g
",0.0
Lettuce," 128 g
",10.0
Sliced duck with yam and tomato," 141 g
",0.0
Minced pork with celery and carrot," 106 g
",17.5
Chinese cabbage and carrot," 106 g
",22.5
Coarse grain steamed bread," 105 g
",62.5
Stir fried fish slices," 127 g
",0.0
Minced pork with pumpkin and scallion oil," 118 g
",0.0
Vegetable," 124 g
",20.0
Minced pork with cauliflower and carrot," 117 g
",16.67
Sliced pork with lettuce and water bamboo," 106 g
",0.0
Chinese cabbage," 118 g
",10.0
Coarse grain, 198 g,50.0
Coarse grain steamed bread," 	128 g
",62.5
Spinach," 113 g
",50.0
Shredd pork with celery," 113 g
",0.0
Braised pork with tofu skin," 137 g
",7.5
Coarse grain, 203 g,50.0
Sliced pork with lettuce and fungus," 136 g
",0.0
Coarse grain, 209 g,50.0
Braised duck slices with green pepper and onion," 143 g
",7.5
Sliced pork with snow pea and yam," 167 g
",0.0
Shredded Chinese cabbage and carrot," 135 g
",22.5
Shredded pork with broccoli," 119 g
",0.0
Nut biscuit," 66 g
",50.0
Soda biscuit, 14 g,50.0
Meat roll stuffed with cabbage," 102 g
",10.0
Shredded pork with bottle gourd," 143 g
",0.0
Lettuce," 124 g
",10.0
Sliced duck with yam and tomato," 146 g
",0.0
Minced pork with celery and carrot," 108 g
",17.5
Chinese cabbage and carrot," 124 g
",22.5
Coarse grain steamed bread," 	130 g
",62.5
Stir fried fish slices," 139 g
",0.0
Minced pork with pumpkin and scallion oil," 128 g
",0.0
Braised pork with cauliflower," 146 g
",7.5
Shredded pork with cucumber," 111 g
",0.0
Braised radish," 112 g
",50.0
Braised pork chop with carrot," 140 g
",17.5
Steamed minced pork with eggplant," 135 g
",0.0
Spinach," 128 g
",50.0
Coarse grain, 237 g,50.0
Sliced boiled duck with onion," 147 g
",0.0
Braised shredded pork and cabbage," 163 g
",5.0
Green pepper with green bean sprouts," 119 g
",30.0
Coarse grain, 212 g,50.0
milk,"  150ml
",50.0
steamed bread," 200 g
",75.0
Pigeon Egg, 20 g,0.0
Braised pork chops with carrot," 144 g
",17.5
Steamed minced pork with eggplant," 134 g
",0.0
Spinach," 133 g
",50.0
Braised shredded pork and cabbage," 162 g
",5.0
Green pepper with green bean sprouts," 111 g
",30.0
Shepherd's purse meat ball," 86 g
",50.0
Shredded pork with water bamboo and carrot," 126 g
",17.5
Leaf lettuce," 115 g
",10.0
Shredded pork in Beijing sauce," 156 g
",25.0
Minced pork with zucchini," 134 g
",0.0
Fried wax gourd with scallion oil," 132 g
",10.0
Braised pork with radish," 138 g
",0.0
Shredded chicken with green pepper and yam," 124 g
",7.5
Chinese cabbage," 117 g
",10.0
Sliced boiled duck," 119 g
",0.0
Shredded pork with shredded lettuce," 119 g
",0.0
Coarse grain, 230 g,50.0
Steamed corn meatball," 95 g
",50.0
Minced pork with cauliflower and carrot," 144 g
",16.67
Stewed duck slices with carrot," 131 g
",35.0
Cabbage," 104 g
",10.0
Sliced pork with king oyster mushroom and fungus," 151 g
",7.5
Minced pork with tomato and cabbage," 120 g
",5.0
Water spinach," 113 g
",50.0
Shrimp fried with vegetable," 162 g
",20.0
Minced pork with eggplant," 130 g
",0.0
Scrambled egg with tomato," 138 g
",0.0
Vegetable," 142 g
",20.0
Sliced pork with tomato and cabbage," 113 g
",5.0
Lettuce," 113 g
",10.0
Sliced pork with lettuce and water bamboo," 130 g
",0.0
Minced pork with broccoli and carrot," 121 g
",17.5
Braised pork with tofu skin knot," 140 g
",7.5
Shredded pork with celery," 120 g
",0.0
Spinach," 124 g
",50.0
Sliced pork with asparagus and fungus," 137 g
",0.0
Shredded pork with cucumber," 110 g
",0.0
Cabbage," 115 g
",10.0
Stewed pork with cauliflower," 149 g
",7.5
Shredded pork with cucumber," 113 g
",0.0
Braised radish," 109 g
",50.0
Sliced pork with cowpea and carrot," 129 g
",17.5
Fried shredded pork," 146 g
",0.0
Meat balls stuffed with shepherd's purse," 86 g
",50.0
Sliced pork with water bamboo and carrot," 128 g
",17.5
Leaf lettuce," 112 g
",10.0
Sliced pork with Beijing sauce," 161 g
",25.0
Minced pork with zucchini," 130 g
",0.0
White gourd with scallion oil," 143 g
",10.0
Braised pork with radish," 143 g
",0.0
Sliced chicken with green pepper and yam," 109 g
",7.5
Sliced boiled duck," 114 g
",0.0
Sliced pork with lettuce," 124 g
",0.0
Green vegetable," 129 g
",20.0
Chicken nuggets with green pepper," 136 g
",7.5
Minced pork with cauliflower and carrot," 126 g
",16.67
Coarse grain, 220 g,50.0
Braised duck slices with carrot," 125 g
",35.0
Minced pork with hangzhou cabbage," 140 g
",5.0
Cabbage," 107 g
",10.0
Sliced pork with pleurotus eryngii and fungus," 149 g
",0.0
Water spinach," 112 g
",50.0
Steamed chicken with mushrooms," 141 g
",15.0
Minced pork with white gourd and carrot," 128 g
",17.5
Hangzhou cabbage," 134 g
",10.0
Minced pork with eggplant," 131 g
",0.0
Green vegetable," 133 g
",20.0
Steamed meatball stuffed with yam," 68 g
",50.0
Steamed pomfret," 94 g
",0.0
Shredded pork with tomato and cabbage," 114 g
",5.0
Lettuce," 110 g
",10.0
Steamed chicken nuggets with mushrooms," 100 g
",15.0
Minced pork with cauliflower and carrot," 101 g
",16.67
Chinese cabbage," 121 g
",10.0
Braised pork with tofu skin knot," 151 g
",7.5
Spinach," 111 g
",50.0
Sliced pork with asparagus and fungus," 134 g
",0.0
Shredded pork with cucumber," 116 g
",0.0
Sliced pork with snow pea and yam," 149 g
",0.0
Shredded pork with broccoli," 149 g
",0.0
Shredded cabbage and carrot," 135 g
",22.5
Stir fried fish slices," 152 g
",0.0
Braised radish," 119 g
",50.0
Steamed bream," 122 g
",50.0
Steamed minced pork with eggplant," 116 g
",0.0
Amaranth," 138 g
",50.0
Sliced pork with cowpea and carrot," 137 g
",17.5
Hangzhou cabbage," 103 g
",10.0
Biscuit, 15 g,50.0
Shepherd's purse meatball," 101 g
",50.0
Shredded chicken with yam and green pepper," 107 g
",7.5
Leaf lettuce," 128 g
",10.0
Braised pork with cauliflower," 145 g
",7.5
Shredded pork with cucumber," 119 g
",0.0
Braised radish," 117 g
",50.0
Braised pork chops with carrot," 136 g
",17.5
Steamed minced pork with eggplant," 103 g
",0.0
Spinach," 122 g
",50.0
Sliced duck with onion," 143 g
",0.0
Braised shredded pork and cabbage," 141 g
",5.0
Shepherd's purse meatball," 112 g
",50.0
Shredded pork with water bamboo and carrot," 102 g
",17.5
Shredded pork in Beijing sauce," 130 g
",25.0
Minced pork with zucchini," 123 g
",0.0
Winter melon with scallion oil," 117 g
",10.0
Steamed herring pieces," 111 g
",50.0
Shredded chicken with green pepper and yam," 118 g
",7.5
Chinese cabbage," 104 g
",10.0
Sliced boiled duck," 111 g
",0.0
Shredded pork with shredded lettuce," 133 g
",0.0
Coarse grai steamed bread," 140 g
",75.0
Chicken nuggets with green pepper," 114 g
",7.5
Steamed pork chops with pumpkin," 136 g
",0.0
Minced pork and Hangzhou cabbage," 136 g
",5.0
Sliced pork with king oyster mushroom and fungus," 123 g
",7.5
Minced pork with tomato and cabbage," 125 g
",5.0
Water spinach," 114 g
",50.0
Steamed chicken with mushrooms," 154 g
",15.0
Minced pork with white gourd and carrot," 146 g
",17.5
Hangzhou cabbage," 147 g
",10.0
Shrimp fried with vegetables," 127 g
",20.0
Minced pork with eggplant," 132 g
",0.0
Scrambled egg with tomato," 243 g
",0.0
Shredded pork with green pepper and carrot," 111 g
",17.5
Steamed pomfret," 72 g
",0.0
Shredded pork with tomato and cabbage," 124 g
",5.0
Lettuce," 115 g
",10.0
Steamed chicken with mushrooms," 120 g
",15.0
Minced pork with cauliflower and carrot," 120 g
",16.67
Chinese cabbage," 125 g
",10.0
Sliced pork with sweet broad pea and yam," 130 g
",0.0
Shredded Chinese cabbage and carrot," 113 g
",22.5
 Boiled vegetable, 100 g,20.0
Stir-fried pork with egg and fungus," 125 g
",0.0
Minced pork with yam and corn," 125 g
",0.0
Amaranth," 118 g
",50.0
Sliced pork with celery and ginkgo nut," 141 g
",0.0
Shredded pork with lettuce and carrot," 117 g
",17.5
Vegetable," 101 g
",20.0
 Boiled vegetable, 111 g,20.0
Sliced pork with green pepper and mushroom," 141 g
",7.5
Braised shredded pork and cabbage," 104 g
",5.0
Green pepper with green bean sprouts," 115 g
",30.0
Sliced pork with bitter gourd," 148 g
",0.0
Shredded pork with green pepper and water bamboo," 147 g
",0.0
Roast pork rib with scallion," 119 g
",0.0
Minced pork with white gourd," 152 g
",0.0
Chinese cabbage," 120 g
",10.0
Sliced pork with zucchini," 136 g
",0.0
Shredded pork with cucumber and carrot," 128 g
",17.5
Radish," 130 g
",50.0
 Boiled vegetable, 103 g,20.0
Fried duck breast with shimeji mushroom," 135 g
",15.0
Shredded pork with bottle gourd," 132 g
",0.0
Braised pork chops with carrot," 140 g
",17.5
Steamed minced pork with eggplant," 117 g
",0.0
Amaranth," 108 g
",50.0
Braised pork with tofu skin knot," 118 g
",7.5
Shredded pork with towel gourd and carrot," 112 g
",17.5
Leaf lettuce," 110 g
",10.0
Sliced pork with asparagus and fungus," 133 g
",0.0
Sliced pork with cucumber and carrot," 130 g
",17.5
Coarse grain, 321 g,50.0
Braised sliced duck with green pepper and onion," 121 g
",7.5
Minced pork with cowpea," 127 g
",0.0
Sliced pork with sweet broad pea and yam," 149 g
",0.0
Fried fish slices with tomatoes," 111 g
",0.0
Minced pork with yam and corn," 103 g
",0.0
Amaranth," 111g
",50.0
Coarse grain, 251 g,50.0
Braised eggs and small meat balls," 154 g
",0.0
Shredded pork with lettuce and fungus," 137 g
",0.0
Cabbage and carrot," 128 g
",22.5
Coarse grain, 295 g,50.0
Sliced pork with green pepper and mushroom," 120 g
",7.5
Braised shredded pork and cabbage," 105 g
",5.0
Coarse grain, 265 g,50.0
Sliced pork with bitter gourd," 137 g
",0.0
Shredded pork with green pepper and water bamboo," 131 g
",0.0
Steamed chicken with scallion," 116 g
",5.0
Minced pork and white gourd," 127 g
",0.0
Fried duck breast with Chinese wolfberry," 144 g
",12.5
Shredded pork with cucumber and carrot," 121 g
",17.5
Radish," 127 g
",50.0
Noodles with shredded pork and preserved vegetable, 120 g,27.5
Celery with smoked bean curd," 100 g
",30.0
Fish," 100 g
",0.0
Peanut, 100 g,50.0
Steamed bun," 60 g
",50.0
Milk, 185 ml,50.0
Vegetable and rice, 100 g,70.0
Spinach, 50 g,50.0
Milk," 185 ml
",50.0
Sweet potato, 60 g,80.0
Rice noodles in sour soup, 120 g,62.5
Duck blood," 100 g
",0.0
Vermicelli," 50 g
",50.0
Taro, 60 g,50.0
Steamed small meat dumpling in basket," 40 g
",50.0
Wonton, 100 g,60.0
Cauliflower," 100 g
",15.0
Pork bone and radish soup," 200 g
",0.0
Coarse grain rice, 50 g,60.0
Multigrain porridge, 100 g,50.0
Leek dumplings, 300 g,50.0
Tofu," 100 g
",15.0
Beef," 100 g
",0.0
Cereal, 100 g,50.0
Pepper and Smoked bean curd," 100 g
",30.0
Pork ribs and yam soup," 200 g
",0.0
Braised pork rib," 100 g
",0.0
 Milk," 185 ml
",50.0
Steamed corn bun, 100 g,50.0
Bone soup," 200 g
",50.0
Pork bone soup," 200 g
",0.0
Lotus root and pork, 100 g,0.0
Cereal, 200 g,50.0
Sword bean and potato," 100 g
",55.0
Dry-fried cauliflower," 100 g
",15.0
Boiled beef," 100 g
",0.0
Salted chicken," 100 g
",0.0
Laver soup, 100 g,50.0
Sweet potato," 100 g
",80.0
Taro, 100 g,50.0
Duck and vermicelli soup, 300 g,0.0
 Shredded potato," 100 g
",80.0
Salted chicken," 50 g
",0.0
Eight treasures in hot sauce," 100 g
",50.0
Chinese cabbage in soup," 100 g
",10.0
Rice, 30 g,70.0
Vegetable and pork stuffed wonton, 300 g,30.0
Steamed small meat dumpling in basket, 50 g,50.0
Beef hotpot, 400 g,0.0
Cereal," 100 g
",50.0
 Coarse grain," 100 g
",50.0
Soybean and smoked bean curd," 100 g
",30.0
Salted chicken, 50 g,0.0
Orange, 60 g,45.0
Duck blood, 100 g,0.0
Braised pork," 50 g
",0.0
Multigrain porridge, 150 g,50.0
Shredded potato,"  100 g
",80.0
Scrambled egg," 50 g
",0.0
