dish,net,Estimated_GI,net_cleaned,Net_Carbs,GL
Coarse grain, 218 g,40.0,218.0,65.39999999999999,26.159999999999997
Egg," 58 g
",30.0,58.0,17.4,5.22
Coarse grain steamed bread," 140 g
",40.0,140.0,42.0,16.8
Boiled vegetable, 111 g,50.0,111.0,33.3,16.65
Sliced pork with king oyster mushroom and fungus," 149 g
",6.25,149.0,44.699999999999996,2.79375
Minced pork with potato and cabbage,"  124 g
",0.0,124.0,37.199999999999996,0.0
Sweet potato leaves," 112 g
",50.0,112.0,33.6,16.8
Coarse grain, 226 g,40.0,226.0,67.8,27.12
Sliced meat with zucchini," 149 g
",50.0,149.0,44.699999999999996,22.35
Minced pork with white gourd and carrot," 127 g
",20.0,127.0,38.1,7.62
Hangzhou cabbage," 106 g
",50.0,106.0,31.799999999999997,15.899999999999999
Coarse grain, 226 g,40.0,226.0,67.8,27.12
Egg," 61 g
",30.0,61.0,18.3,5.49
Coarse grain steamed bread," 140 g
",40.0,140.0,42.0,16.8
Boiled vegetable, 103 g,50.0,103.0,30.9,15.45
Braised pork chops with radish," 153g
",0.0,153.0,45.9,0.0
Minced meat with eggplant," 138 g
",30.0,138.0,41.4,12.42
Vegetable," 116 g
",50.0,116.0,34.8,17.4
Coarse grain, 222 g,40.0,222.0,66.6,26.64
Steamed meatballs with yam,"  95 g
",50.0,95.0,28.5,14.25
Shredded pork with green pepper and carrot," 118 g
",20.0,118.0,35.4,7.08
Hangzhou cabbage," 111 g
",50.0,111.0,33.3,16.65
Coarse grain, 239 g,40.0,239.0,71.7,28.68
Egg," 58 g
",30.0,58.0,17.4,5.22
Coarse grain steamed bread," 137 g
",40.0,137.0,41.1,16.44
Boiled vegetable, 100 g,50.0,100.0,30.0,15.0
Fried pork slices with celery and ginkgo," 149 g
",0.0,149.0,44.699999999999996,0.0
Shredded pork with tomato and cabbage,"  116 g
",0.0,116.0,34.8,0.0
Lettuce," 106 g
",50.0,106.0,31.799999999999997,15.899999999999999
Coarse grain, 232 g,40.0,232.0,69.6,27.84
Scrambled egg with tomato," 155 g
",30.0,155.0,46.5,13.95
Hangzhou cabbage," 110 g
",50.0,110.0,33.0,16.5
